k,genes,combo_auc,best_individual_auc,synergy_score
4,SNORD97 | CKMT2 | NR4A1 | LOC112268270,0.6402,0.5891,0.0511
4,SMG1P5 | ANGPT2 | MAP3K2-DT | CKMT2,0.6389,0.5986,0.0403
4,SNORD97 | CKMT2 | ENSG00000279656 | LOC112268270,0.6386,0.5891,0.0495
4,SMG1P5 | ANGPT2 | MAP3K2-DT | TINAGL1,0.6371,0.5986,0.0385
4,SMG1P5 | TINAGL1 | CKMT2 | LOC112268270,0.6367,0.5891,0.0476
4,SMG1P5 | MAP3K2-DT | CKMT2 | ENSG00000279656,0.6364,0.5891,0.0473
4,SMG1P5 | ANGPT2 | SNORD97 | NR4A1,0.6363,0.5986,0.0377
4,ANGPT2 | CKMT2 | NR4A1 | LOC112268270,0.6359,0.5986,0.0373
4,SMG1P5 | SNORD97 | ENSG00000279656 | LOC112268270,0.6354,0.5698,0.0656
4,SMG1P5 | SNORD97 | NR4A1 | LOC112268270,0.6351,0.5698,0.0653
4,SMG1P5 | CKMT2 | ENSG00000279656 | LOC112268270,0.6346,0.5891,0.0455
4,SMG1P5 | MAP3K2-DT | TINAGL1 | ENSG00000279656,0.6337,0.5421,0.0916
4,MAP3K2-DT | SNORD97 | ENSG00000279656 | LOC112268270,0.6334,0.5698,0.0636
4,TINAGL1 | CKMT2 | ENSG00000279656 | LOC112268270,0.6326,0.5891,0.0435
4,MAP3K2-DT | TINAGL1 | ENSG00000279656 | LOC112268270,0.6303,0.5421,0.0882
4,SMG1P5 | MAP3K2-DT | NR4A1 | LOC112268270,0.6294,0.5473,0.0821
4,MAP3K2-DT | CKMT2 | ENSG00000279656 | LOC112268270,0.6285,0.5891,0.0394
4,SMG1P5 | SNORD97 | TINAGL1 | LOC112268270,0.6274,0.5698,0.0576
4,ANGPT2 | MAP3K2-DT | SNORD97 | LOC112268270,0.6252,0.5986,0.0266
4,ANGPT2 | MAP3K2-DT | CKMT2 | LOC112268270,0.6247,0.5986,0.0261
4,SMG1P5 | ANGPT2 | SNORD97 | TINAGL1,0.6244,0.5986,0.0258
4,ANGPT2 | SNORD97 | CKMT2 | LOC112268270,0.6241,0.5986,0.0255
4,ANGPT2 | MAP3K2-DT | SNORD97 | TINAGL1,0.6228,0.5986,0.0242
4,SMG1P5 | MAP3K2-DT | SNORD97 | ENSG00000279656,0.6219,0.5698,0.0521
4,SMG1P5 | MAP3K2-DT | TINAGL1 | LOC112268270,0.6219,0.5421,0.0798
4,SMG1P5 | ANGPT2 | SNORD97 | CKMT2,0.6218,0.5986,0.0232
4,SMG1P5 | ANGPT2 | CKMT2 | NR4A1,0.6199,0.5986,0.0213
4,SMG1P5 | ANGPT2 | NR4A1 | LOC112268270,0.6198,0.5986,0.0212
4,ANGPT2 | MAP3K2-DT | TINAGL1 | LOC112268270,0.6193,0.5986,0.0207
4,ANGPT2 | SNORD97 | TINAGL1 | LOC112268270,0.6189,0.5986,0.0203
4,SMG1P5 | MAP3K2-DT | SNORD97 | CKMT2,0.6145,0.5891,0.0254
4,ANGPT2 | SNORD97 | TINAGL1 | CKMT2,0.6142,0.5986,0.0156
4,SMG1P5 | SNORD97 | CKMT2 | LOC112268270,0.6092,0.5891,0.0201
4,MAP3K2-DT | SNORD97 | TINAGL1 | CKMT2,0.609,0.5891,0.0199
4,SMG1P5 | ANGPT2 | MAP3K2-DT | SNORD97,0.6089,0.5986,0.0103
4,SMG1P5 | ANGPT2 | SNORD97 | LOC112268270,0.6059,0.5986,0.0073
4,SMG1P5 | MAP3K2-DT | ENSG00000279656 | LOC112268270,0.6059,0.5421,0.0638
4,ANGPT2 | TINAGL1 | CKMT2 | LOC112268270,0.6045,0.5986,0.0059
4,SMG1P5 | MAP3K2-DT | SNORD97 | TINAGL1,0.6029,0.5698,0.0331
4,SMG1P5 | ANGPT2 | MAP3K2-DT | LOC112268270,0.5986,0.5986,-0.0
4,SMG1P5 | ANGPT2 | CKMT2 | LOC112268270,0.5942,0.5986,-0.0044
4,SNORD97 | TINAGL1 | CKMT2 | LOC112268270,0.5871,0.5891,-0.002
4,MAP3K2-DT | TINAGL1 | CKMT2 | LOC112268270,0.5781,0.5891,-0.011
4,MAP3K2-DT | SNORD97 | CKMT2 | LOC112268270,0.5773,0.5891,-0.0118
4,SMG1P5 | MAP3K2-DT | CKMT2 | LOC112268270,0.5706,0.5891,-0.0185
4,MAP3K2-DT | SNORD97 | TINAGL1 | LOC112268270,0.5673,0.5698,-0.0025
4,SMG1P5 | MAP3K2-DT | SNORD97 | LOC112268270,0.5671,0.5698,-0.0027
