n_features,mean_auc
484,0.99380042258932
485,0.9947631126980182
486,0.9937221757700391
487,0.9952227068314841
488,0.995069885426318
489,0.9939526790355021
490,0.9941848771779169
491,0.9947625477390343
492,0.9942989988926805
493,0.9942608641612619
494,0.9945679193690538
495,0.9946060541004723
496,0.994183747259949
497,0.9938374274027705
498,0.9936814987231928
499,0.9945690492870218
500,0.9942973040157284
