gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO_Biological_Process_2023,prerank,Generation Of Neurons (GO:0048699),0.24871726542081724,1.0230508397350873,0.4037685060565276,0.4920969359728109,1.0,47/163,23.65%,ANOS1;WNT5A;DNER;PALS1;NDNF;RUNX2;RUNX1;FZD2;TGFB2;MTPN;ACSL4;ASCL2;RAC1;WNT4;WNT6;ITM2C;DISC1;USP9X;RUNX3;SOX11;OTP;RTN4;NIF3L1;MET;EN1;CASP3;SEMA3A;CTF1;WNT5B;IRX3;RACGAP1;ERBB2;FZD5;MAP1B;POU4F2;DCDC2;NTRK2;EML1;NRCAM;CELSR1;LMX1B;IRX5;WNT16;PAFAH1B1;VXN;THOC2;TUBB2B
GO_Biological_Process_2023,prerank,Protein K48-linked Deubiquitination (GO:0071108),0.34780760772642594,1.0228725777372627,0.4320388349514563,0.49221978033590585,1.0,13/24,35.88%,YOD1;TNFAIP3;RNF2;VCPIP1;USP33;USP8;MINDY2;USP5;USP25;USP37;OTUD4;OTUD7B;USP29
GO_Biological_Process_2023,prerank,Neuron Projection Development (GO:0031175),-0.22024684285251336,-1.0226941605934055,0.40077821011673154,0.7778207001604956,1.0,42/176,14.87%,SHANK3;ZNF335;SHANK1;MAPK8IP3;DAB2IP;ULK1;TBC1D24;SAMD14;DBNL;NYAP1;UNC5A;MICALL2;NYAP2;SRGAP3;TRIO;DIP2A;PLXNA3;PACSIN1;GPRIN1;MARK2;ADGRV1;MAPT;RASGRF1;BHLHA15;NEUROD2;EPHA8;ARHGAP35;PPP1R9B;NEUROD1;CAMSAP1;CDK5R1;MAP1S;EPHB1;STMN3;ANKRD27;PRDM12;MINK1;TMEM108;ATOH7;L1CAM;ATCAY;ZFYVE27
GO_Biological_Process_2023,prerank,Positive Regulation Of Telomere Maintenance (GO:0032206),0.3034610527866477,1.0224870397611336,0.41423948220064727,0.4927099061277772,1.0,22/47,26.01%,ACTL6A;POT1;GNL3;NEK7;TNKS2;AURKB;TINF2;UCHL5;DHX36;TERF2IP;RUVBL1;HNRNPD;PRKCQ;MAPK1;NEK2;ATM;PKIB;NABP2;ACTR8;HNRNPA2B1;ATRX;MRE11
GO_Biological_Process_2023,prerank,Protein Hydroxylation (GO:0018126),0.40881581595695815,1.0223735360806743,0.44240400667779634,0.4927236285842153,1.0,3/13,6.34%,PLOD2;P3H2;OGFOD1
GO_Biological_Process_2023,prerank,mRNA Splice Site Recognition (GO:0006376),-0.31489583724159154,-1.0222175755946383,0.408,0.7758360372543591,1.0,8/26,14.52%,SFSWAP;CELF3;LUC7L3;CELF5;LUC7L;NR5A1;ISY1;CELF6
GO_Biological_Process_2023,prerank,Regulation Of T Cell Differentiation In Thymus (GO:0033081),0.4208880490558241,1.0221705169964443,0.44649446494464945,0.4928874894924204,1.0,2/11,3.06%,VNN1;SOD1
GO_Biological_Process_2023,prerank,Axon Development (GO:0061564),-0.24560890643666827,-1.022057577323098,0.4166666666666667,0.7729026143594775,1.0,23/97,15.06%,BRSK2;TRIM46;NTNG2;MAPK8IP3;SPTBN4;BRSK1;DSCAML1;TAOK2;MARK2;MAPT;BHLHA15;NEUROD2;ARHGAP35;NEUROD1;CDK5R1;RTN4RL1;MAP1S;DRD2;ANK3;ATOH7;L1CAM;RTN4RL2;MAP1A
GO_Biological_Process_2023,prerank,Regulation Of miRNA-mediated Gene Silencing (GO:0060964),0.41105316181318063,1.0220471473160369,0.4321880650994575,0.49291327241080407,1.0,8/12,28.64%,PPARG;FXR1;DHX9;ZFP36;TIAL1;EIF4G1;PUM2;LIMD1
GO_Biological_Process_2023,prerank,Regulation Of Macromolecule Biosynthetic Process (GO:0010556),0.30606999873150276,1.0217364904150712,0.4249201277955272,0.4932854351936568,1.0,12/44,17.82%,RPL10;TNFRSF1B;MITF;MTPN;METTL18;RABL3;CYFIP1;MEAF6;ATG101;METAP1;TOM1L1;NOLC1
GO_Biological_Process_2023,prerank,Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),0.33786323962656,1.0215758073507433,0.4339622641509434,0.49336949065916724,1.0,10/27,19.01%,SULF1;SLC31A1;VAV1;PAK2;HSPB1;KDR;MAPKAPK3;PRKD1;PGF;FYN
GO_Biological_Process_2023,prerank,Positive Regulation Of Heterochromatin Formation (GO:0031453),0.4236820488982752,1.0215282481205774,0.43087971274685816,0.4932704940778831,1.0,4/11,25.07%,CDK2;TASOR;TPR;SETDB2
GO_Biological_Process_2023,prerank,Positive Regulation Of Cyclase Activity (GO:0031281),-0.3917742969427471,-1.018991191136853,0.4226327944572748,0.7787708908781804,1.0,2/12,4.52%,CACNA1C;CACNA1D
GO_Biological_Process_2023,prerank,Regulation Of Establishment Of Planar Polarity (GO:0090175),0.33057403917819095,1.018781677241688,0.44336569579288027,0.49795880764276895,1.0,10/28,23.17%,RHOA;WNT5A;CDC42;FZD2;RAC1;DAAM1;PKHD1;CELSR1;VANGL1;PRICKLE1
GO_Biological_Process_2023,prerank,Telomere Capping (GO:0016233),0.42659627861052385,1.0184573332183413,0.4478114478114478,0.4983334061875814,1.0,4/11,16.14%,POT1;TINF2;STON1;TERF2IP
GO_Biological_Process_2023,prerank,Sodium Ion Import Across Plasma Membrane (GO:0098719),-0.328527425927192,-1.018432803337979,0.405,0.7770529106557086,1.0,8/21,14.66%,SCNN1D;SLC9A5;SLC5A2;SCNN1G;HCN4;SLC6A1;SLC9A3;TRPM4
GO_Biological_Process_2023,prerank,Heterochromatin Formation (GO:0031507),-0.30947586231954605,-1.018173874882099,0.42857142857142855,0.7744578875732047,1.0,9/29,13.12%,KMT2D;L3MBTL1;BAZ2A;HDAC5;NRDE2;LMNB2;EZH1;SCMH1;CTBP1
GO_Biological_Process_2023,prerank,DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005),-0.29148299298196745,-1.0177722311085677,0.3968253968253968,0.7721977529289984,1.0,5/39,4.17%,EME2;RTEL1;POLE;TONSL;CAMSAP3
