Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set_name
DisGeNET,Chronic Lymphocytic Leukemia,1/1120,0.1587747440059067,0.1854229068002031,0,0,8.43521000893655,15.523053679441048,ANGPT2,down_in_ALS
DisGeNET,Malignant neoplasm of breast,2/5054,0.1592839948283683,0.1854229068002031,0,0,5.916468725257324,10.868946724215991,CLDN5;ANGPT2,down_in_ALS
DisGeNET,Atherosclerosis,1/1134,0.1606448232690387,0.1860529330717948,0,0,8.324801412180053,15.222394021886226,ANGPT2,down_in_ALS
DisGeNET,Seizures,1/1174,0.1659726310130855,0.1907388196103862,0,0,8.02387041773231,14.410328677143957,ANGPT2,down_in_ALS
DisGeNET,Lung Neoplasms,1/1177,0.1663713052108215,0.1907388196103862,0,0,8.002125850340136,14.352078464079336,ANGPT2,down_in_ALS
DisGeNET,Diabetes,1/1268,0.1784041315006308,0.2035062203549909,0,0,7.391475927387529,12.740715886257366,ANGPT2,down_in_ALS
DisGeNET,Hypertensive disease,1/1310,0.183918466949004,0.2080047722440401,0,0,7.138273491214668,12.086972487666364,ANGPT2,down_in_ALS
DisGeNET,Multiple Myeloma,1/1312,0.1841804370971457,0.2080047722440401,0,0,7.1266209000762775,12.057097781639904,ANGPT2,down_in_ALS
DisGeNET,Liver neoplasms,1/1321,0.1853586089479238,0.2082990308474193,0,0,7.074621212121212,11.924011609224578,ANGPT2,down_in_ALS
DisGeNET,Epithelial ovarian cancer,1/1329,0.1864049200467565,0.2084429401508065,0,0,7.0289909638554215,11.807537880103204,ANGPT2,down_in_ALS
DisGeNET,Renal Cell Carcinoma,1/1348,0.1888863175203931,0.2101823239074963,0,0,6.92279138827023,11.5375929367349,ANGPT2,down_in_ALS
DisGeNET,Diabetes Mellitus,1/1507,0.2094542149295902,0.2319322282391072,0,0,6.139110225763612,9.596964723406517,ANGPT2,down_in_ALS
DisGeNET,Central neuroblastoma,1/1655,0.2282839913349405,0.2515556603545218,0,0,5.545042321644498,8.190941604213762,ANGPT2,down_in_ALS
DisGeNET,Neuroblastoma,1/1698,0.2336981913828686,0.2562777267821796,0,0,5.391868002357101,7.838292106763651,ANGPT2,down_in_ALS
DisGeNET,Rheumatoid Arthritis,1/1833,0.250531598466508,0.2734166964033525,0,0,4.957696506550218,6.8622958881082,ANGPT2,down_in_ALS
DisGeNET,Squamous cell carcinoma,1/1876,0.2558411136426778,0.2778752765401333,0,0,4.832533333333333,6.587703046648778,CLDN5,down_in_ALS
DisGeNET,Schizophrenia,1/1923,0.2616157874735286,0.2827942083642428,0,0,4.70213319458897,6.304988418646532,CLDN5,down_in_ALS
DisGeNET,Glioblastoma,1/1937,0.2633301098411822,0.2832982698291391,0,0,4.664514462809917,6.2240802426109125,ANGPT2,down_in_ALS
DisGeNET,Obesity,1/1961,0.2662627712671022,0.2851021182907179,0,0,4.601275510204082,6.088737187602487,ANGPT2,down_in_ALS
DisGeNET,Tumor Progression,1/2090,0.2818925595722384,0.2991444668716307,0,0,4.286261369076113,5.4273896261066135,ANGPT2,down_in_ALS
DisGeNET,Colon Carcinoma,1/2091,0.2820128454208325,0.2991444668716307,0,0,4.283971291866028,5.422662247798701,ANGPT2,down_in_ALS
DisGeNET,Non-Small Cell Lung Carcinoma,1/2243,0.3001405387820012,0.3168925688535547,0,0,3.9596342551293486,4.765437452018005,ANGPT2,down_in_ALS
DisGeNET,Primary malignant neoplasm of lung,1/2268,0.3030925287795597,0.3185277964488891,0,0,3.910454344949272,4.667976394664397,ANGPT2,down_in_ALS
DisGeNET,Stomach Carcinoma,1/2378,0.3159826884455365,0.3299368727684981,0,0,3.7063525452250734,4.269969609216896,ANGPT2,down_in_ALS
DisGeNET,Mammary Neoplasms,1/2387,0.3170302462923302,0.3299368727684981,0,0,3.6904861693210393,4.239475863283377,ANGPT2,down_in_ALS
DisGeNET,Malignant neoplasm of stomach,1/2398,0.3183091415696082,0.3299368727684981,0,0,3.671255736337088,4.202604748065881,ANGPT2,down_in_ALS
DisGeNET,Malignant neoplasm of lung,1/2449,0.3242177075038293,0.3345337254698602,0,0,3.5843545751633985,4.037202118927283,ANGPT2,down_in_ALS
DisGeNET,Carcinoma of lung,1/2476,0.3273319033554364,0.3362187423605614,0,0,3.53979797979798,3.9531778104232007,ANGPT2,down_in_ALS
DisGeNET,Colorectal Carcinoma,1/2931,0.3783822770042659,0.3869044003602179,0,0,2.912457337883959,2.830472478060473,ANGPT2,down_in_ALS
DisGeNET,Prostate carcinoma,1/3145,0.4014719982956605,0.4086732897449101,0,0,2.680184478371501,2.445983233406766,ANGPT2,down_in_ALS
DisGeNET,Malignant neoplasm of prostate,1/3239,0.4114307668012663,0.4169410002852119,0,0,2.5878628783199504,2.298318595278356,ANGPT2,down_in_ALS
